lane,order,label,artifact,actor
ASK,1,a claim needs a picture,the page's Content division,person
ASK,2,open the unit,display/<page>/,person
MAKE,1,write the recipe,source/gen_*.py + source_data.csv,person
MAKE,2,draw the options,candidates/*.pdf,person
MAKE,3,choose one,assets/figure.pdf + .png,person
BUILD,1,wrap it for the paper,float.tex,person
BUILD,2,compile it alone,preview.pdf + .png,script
BUILD,3,ship it,displays/<page>/,script
ACCEPT,1,look at the render,the preview on the page,person
ACCEPT,2,say yes to THIS render,rung 4 + a date,person
ACCEPT,3,cite it in a sentence,rung 5 + the placement row,person
